NM_MUNICIPIO,NR_TURNO,NR_SECAO,NM_LOCAL_VOTACAO,NR_LATITUDE,NR_LONGITUDE
PARAPUÃ,1,100,CRECHE ESCOLA PEQUENO PRÍNCIPE,-21.779962,-50.7855859
MARÍLIA,1,311,EMEF PROFª  GERALDA CESAR VILARDI,-22.2153217,-49.9768754
MARÍLIA,1,395,EMEF PROF. NELSON GABALDI,-22.2205414,-49.9722993
OSVALDO CRUZ,1,2,ETEC AMIM JUNDI,-21.7914906,-50.8765847
RANCHARIA,1,42,EMEFEI. CARLOS BUENO DE TOLEDO,-22.6262523,-50.9066885
RANCHARIA,1,58,EE. JOSÉ GIORGI,-22.2272722,-50.8834943
RANCHARIA,1,69,EM. DONA MILOCA,-22.2309771,-50.8993541
RANCHARIA,1,82,EM. LUIZ DORINI,-22.2302582,-50.8758251
MARÍLIA,1,302,EMEF PROF PAULO REGLUS NEVES FREIRE,-22.2517657,-49.9408542
OSVALDO CRUZ,1,69,EE DOM BOSCO,-21.7964924,-50.8799394
MARÍLIA,1,431,EMEI FLAUTA MÁGICA,-22.2363061,-49.9797939
LUCÉLIA,1,59,EMEF ARGEMIRO DE ALMEIDA GONZAGA,-1.0,-1.0
LUCÉLIA,1,55,EE JOSE FIRPO,-1.0,-1.0
PRESIDENTE PRUDENTE,1,388,COLÉGIO COOPERATIVO,-22.0941292,-51.4273353
OSVALDO CRUZ,1,24,COLÉGIO APOLO,-21.7991197,-50.8734154
MARÍLIA,1,97, E.E. PROFª MARIA CECÍLIA FERRAZ DE FREITAS ,-22.2458311,-49.927021
PRESIDENTE PRUDENTE,1,11,E.E.  PROFª MARIA LUÍZA BASTOS,-22.132292,-51.4059708
PRESIDENTE PRUDENTE,1,64,E.E. MARIA LUIZA FORMOZINHO RIBEIRO,-22.1223496,-51.400154
MARÍLIA,1,68,E.E. PROF GERALDO ZANCOPÉ ,-22.196621,-49.9560244
MARÍLIA,1,245,EMEF. PROFº ISALTINO DE CAMPOS,-22.1473366,-49.9599627
PRESIDENTE PRUDENTE,1,275,COLÉGIO ANGLO PRUDENTINO,-22.1300136,-51.4088415
TUPÃ,1,15,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
TUPÃ,1,136,EE.  PROF. ESTHER VERIS CERPE,-21.9314332,-50.5213298
PRESIDENTE PRUDENTE,1,120,E.E. CLOTILDE VEIGA DE BARROS,-22.14686,-51.3862251
RANCHARIA,1,22,EE. DOM ANTONIO JOSÉ DOS SANTOS,-22.2280026,-50.8917407
MARÍLIA,1,259,EMEF. GOVERNADOR MÁRIO COVAS ,-22.1648765,-49.9749085
DRACENA,1,39,EMEFI PROFA LUIZA ROSSA RIBEIRO,-21.4872018,-51.5460907
PRESIDENTE PRUDENTE,1,50,E.E.  PROFª MARIETTA FERRAZ ASSUMPÇÃO,-22.1387553,-51.3893063
RANCHARIA,1,57,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,-22.2279013,-50.8937046
OSVALDO CRUZ,1,6,ETEC AMIM JUNDI,-21.7914906,-50.8765847
MARÍLIA,1,164,EMEF. PROFº OLÍMPIO CRUZ,-22.1549922,-49.9651432
MARÍLIA,1,56,EE PROF. BALTAZAR DE GODOY MOREIRA,-22.2015503,-49.9591456
PRESIDENTE PRUDENTE,1,17,E.E. FLORIVALDO LEAL,-22.1292137,-51.3941376
TUPÃ,1,174,EMEF. PROF. ODINIR MAGNANI,-21.9215103,-50.5308818
MARÍLIA,1,263,EMEF. PROFº OLÍMPIO CRUZ,-22.1549922,-49.9651432
PRESIDENTE PRUDENTE,1,354,E. M.  ROSANA NEGRÃO FREITAS DOS SANTOS,-22.0834271,-51.4316456
ADAMANTINA,1,106,EE. HELEN KELLER,-21.6924798,-51.069082
TUPÃ,1,141,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
PRESIDENTE PRUDENTE,1,391,COLÉGIO COOPERATIVO,-22.0941292,-51.4273353
ADAMANTINA,1,77,EE. HELEN KELLER,-21.6924798,-51.069082
PRESIDENTE PRUDENTE,1,173,E.E.  PROF.  PLACÍDIO BRAGA NOGUEIRA,-22.1390421,-51.3756213
PRESIDENTE PRUDENTE,1,203,COLÉGIO ANGLO PRUDENTINO,-22.1300136,-51.4088415
PRESIDENTE PRUDENTE,1,276,COLÉGIO JP,-22.1072177,-51.4194805
MARÍLIA,1,396,EMEF PROF PAULO REGLUS NEVES FREIRE,-22.2517657,-49.9408542
MARÍLIA,1,377,EMEFEI - CHICO XAVIER,-22.2369283,-49.9786711
TUPÃ,1,118,EE.  PROF. ESTHER VERIS CERPE,-21.9314332,-50.5213298
PRESIDENTE PRUDENTE,1,29,E. E. FERNANDO COSTA,-22.1204416,-51.3881245
LUCÉLIA,1,45,EMEI ADELITA FIRPO,-1.0,-1.0
ADAMANTINA,1,26,EE. PROFESSOR DURVALINO GRION,-21.6785734,-51.0768388
PRESIDENTE PRUDENTE,1,134,E. M. ANTÔNIO MOREIRA LIMA,-22.1611826,-51.4550199
MARÍLIA,1,375,EE. PROFA. ORACINA CORREA DE MORAES RODINE,-22.2025579,-49.9681609
PARAPUÃ,1,39,EMEF PROFESSORA ZIZI PEREIRA DE SOUZA,-21.782315,-50.7888623
TUPÃ,1,119,EE .PROF. IRENE RESINA MIGLIORUCCI,-21.9303421,-50.4944143
DRACENA,1,73,ESCOLA TÉCNICA CEP/UME,-21.4858446,-51.5317264
MARÍLIA,1,357,CEEJA - PROF. SEBASTIANA ULIAN PESSINE,-22.2224334,-49.95046
DRACENA,1,108,FACULDADE DE DRACENA - FAD/UNIESP,-1.0,-1.0
TUPÃ,1,11,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
PRESIDENTE PRUDENTE,1,123,E. M. DR. JOÃO FRANCO DE GODOY,-22.1136855,-51.3963995
MARÍLIA,1,28,E.E. PROFª MARIA STELLA CERQUEIRA CÉSAR,-22.191186,-49.9538684
TUPÃ,1,91,EE. LUIZ DE SOUZA LEÃO,-21.932653,-50.5022959
MARÍLIA,1,102, E.E. PROFª MARIA CECÍLIA FERRAZ DE FREITAS ,-22.2458311,-49.927021
PRESIDENTE PRUDENTE,1,165,CENTRO EDUCACIONAL SESI 423,-22.1334065,-51.4490591
PRESIDENTE PRUDENTE,1,327,E. M.  ROSANA NEGRÃO FREITAS DOS SANTOS,-22.0834271,-51.4316456
TUPÃ,1,12,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
LUCÉLIA,1,24,EMEF ARGEMIRO DE ALMEIDA GONZAGA,-1.0,-1.0
DRACENA,1,113,E.E ALFREDO MACHADO,-21.4906607,-51.5537528
MARÍLIA,1,234,EE. BENTO DE ABREU SAMPAIO VIDAL,-22.2106909,-49.9343945
MARÍLIA,1,270,COLÉGIO CRIATIVO ,-22.2277428,-49.9257227
MARÍLIA,1,277,EMEF. PROFº ISALTINO DE CAMPOS,-22.1473366,-49.9599627
RANCHARIA,1,48,EM. DR. JULIO LUCANT,-22.2271764,-50.8917237
PRESIDENTE PRUDENTE,1,25,E.M. PROF. JOSÉ CARLOS JOÃO,-22.1422103,-51.391758
PRESIDENTE PRUDENTE,1,256,E. M. RUI CARLOS VIEIRA BERBERT,-22.0860719,-51.3819163
OSVALDO CRUZ,1,84,SESI,-21.8008372,-50.8839758
PARAPUÃ,1,34,EE DE PARAPUA,-21.778316,-50.7940589
OSVALDO CRUZ,1,122,EE PROFA MARIA APARECIDA LOPES,-21.7974634,-50.8955461
PRESIDENTE PRUDENTE,1,188,E. E.  COMENDADOR TANNEL ABBUD,-22.1149986,-51.3763971
MARÍLIA,1,29,E.E. PROFª MARIA STELLA CERQUEIRA CÉSAR,-22.191186,-49.9538684
MARÍLIA,1,177,E.E. PROF NELSON CABRINI,-22.2392815,-49.9175064
PRESIDENTE PRUDENTE,1,143,E. E. PROFº HUGO MIELE,-22.1120854,-51.3923448
RANCHARIA,1,23,EE. DOM ANTONIO JOSÉ DOS SANTOS,-22.2280026,-50.8917407
RANCHARIA,1,80,EE. PROF. MARIO FIORANTE,-22.2301281,-50.9061034
DRACENA,1,63,FACULDADE REGES,-21.5033029,-51.542601
MARÍLIA,1,417,EE MARIA ISABEL SAMPAIO VIDAL - DISTR. PADRE NÓBREGA,-22.1559696,-50.0083248
MARÍLIA,1,195,E.E. DR. WALDEMAR MONIZ DA ROCHA BARROS ,-22.2032502,-49.9489875
PRESIDENTE PRUDENTE,1,213,CENTRO DE EDUCAÇÃO INTEGRAL CIDADE ESCOLA JOSÉ CARLOS PIMENTA,-22.1145348,-51.405466
MARÍLIA,1,394,EMEF PROFª EDMEA BRAZ ROJO SOLA,-22.2022058,-49.9615136
TUPÃ,1,121,EMEF. PROF. ODINIR MAGNANI,-21.9215103,-50.5308818
MARÍLIA,1,356,EMEF PROF. AMAURY PACHECO,-22.206582,-49.9704816
TUPÃ,1,152,EE .PROF. IRENE RESINA MIGLIORUCCI,-21.9303421,-50.4944143
ADAMANTINA,1,27,EE. PROFESSOR DURVALINO GRION,-21.6785734,-51.0768388
MARÍLIA,1,74,EE GABRIEL MONTEIRO DA SILVA,-22.2157852,-49.9542383
DRACENA,1,112,FACULDADE REGES,-21.5033029,-51.542601
ADAMANTINA,1,43,EMEF. NAVARRO DE ANDRADE,-21.6891015,-51.0798656
MARÍLIA,1,214,COLÉGIO CRIATIVO ,-22.2277428,-49.9257227
MARÍLIA,1,386,COLÉGIO ÁGUA VIVA,-22.2331943,-49.9362083
MARÍLIA,1,333,EMEF PROF. NELSON GABALDI,-22.2205414,-49.9722993
MARÍLIA,1,68,EE GABRIEL MONTEIRO DA SILVA,-22.2157852,-49.9542383
TUPÃ,1,139,EE.  PROF. ESTHER VERIS CERPE,-21.9314332,-50.5213298
TUPÃ,1,60,EMEIEF. PROF. GINO BOLOGNESI,-21.9454086,-50.4398472
MARÍLIA,1,290,EMEF PROF. ANTÔNIO MORAL,-22.2609965,-49.9285282
PRESIDENTE PRUDENTE,1,87,EM. PROFª MARIA DO SOCORRO BRITO DE ALMEIDA,-22.1140597,-51.432782
PRESIDENTE PRUDENTE,1,329,E. M. DOMINGOS FERREIRA DE MEDEIROS,-22.1051268,-51.3880732
MARÍLIA,1,10,E.E. DR. WALDEMAR MONIZ DA ROCHA BARROS ,-22.2032502,-49.9489875
PRESIDENTE PRUDENTE,1,271,E. M. ANTÔNIO MOREIRA LIMA,-22.1611826,-51.4550199
PRESIDENTE PRUDENTE,1,226,E. M. DOMINGOS FERREIRA DE MEDEIROS,-22.1051268,-51.3880732
MARÍLIA,1,291, EMEF. PROFª RENY PEREIRA CORDEIRO,-22.2381417,-49.9154975
PRESIDENTE PRUDENTE,1,252,FATEC. - PRESIDENTE PRUDENTE,-22.1394318,-51.3843645
RANCHARIA,1,13,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,-22.2279013,-50.8937046
PRESIDENTE PRUDENTE,1,136,E. E. PROFº HUGO MIELE,-22.1120854,-51.3923448
PRESIDENTE PRUDENTE,1,115,TOLEDO PRUDENTE CENTRO UNIVERSITÁRIO - BLOCO 01,-22.1142343,-51.3760963
PARAPUÃ,1,104,CRECHE ESCOLA PEQUENO PRÍNCIPE,-21.779962,-50.7855859
PRESIDENTE PRUDENTE,1,95,E.E. ANTÔNIO FIORAVANTE DE MENEZES,-22.1297893,-51.3830708
MARÍLIA,1,306,EE. NASIB CURY,-22.2496488,-49.9439296
MARÍLIA,1,247,E.E. PROFº BENITO MARTINELLI,-22.1519235,-49.961232
TUPÃ,1,165,EMEF. PROF. JOÃO GERALDO IORI,-21.9319082,-50.4908439
OSVALDO CRUZ,1,110,SESI,-21.8008372,-50.8839758
TUPÃ,1,10,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
PARAPUÃ,1,114,EMEF PROFESSORA ZIZI PEREIRA DE SOUZA,-21.782315,-50.7888623
PRESIDENTE PRUDENTE,1,374,TOLEDO PRUDENTE CENTRO UNIVERSITÁRIO - BLOCO 01,-22.1142343,-51.3760963
MARÍLIA,1,233,EE PADRE JOÃO WALFREDO ROTHERMUND,-22.2504174,-49.936468
MARÍLIA,1,335,COLÉGIO ÁGUA VIVA,-22.2331943,-49.9362083
MARÍLIA,1,293,EMEF. PROFª CECÍLIA ALVES GUELPA,-22.1725289,-49.9504075
TUPÃ,1,21,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
MARÍLIA,1,132, EE. PROFª REIKO UEMURA TSUNOKAWA,-22.1718078,-49.9582154
PRESIDENTE PRUDENTE,1,187,COLÉGIO CHAMPAGNAT,-22.1177263,-51.390203
MARÍLIA,1,133,E.E. PROFº BENITO MARTINELLI,-22.1519235,-49.961232
MARÍLIA,1,173,EMEI. ESTRELINHA DOURADA ,-22.1761929,-49.9545109
MARÍLIA,1,168,E.E. PROFª AMÉLIA LOPES ANDERS ,-22.1691793,-49.971775
PRESIDENTE PRUDENTE,1,124,E. M. DR. JOÃO FRANCO DE GODOY,-22.1136855,-51.3963995
MARÍLIA,1,365,EMEFEI - CHICO XAVIER,-22.2369283,-49.9786711
OSVALDO CRUZ,1,106,EE PROFA MARIA APARECIDA LOPES,-21.7974634,-50.8955461
PRESIDENTE PRUDENTE,1,27,E.M. PROF. JOSÉ CARLOS JOÃO,-22.1422103,-51.391758
MARÍLIA,1,407,COLÉGIO COMPACTO,-22.2209172,-49.9529096
MARÍLIA,1,20,INSTITUTO DAS APÓSTOLAS SAGRADO CORAÇÃO DE JESUS,-22.2132291,-49.9478041
MARÍLIA,1,124,E.E. PROF NELSON CABRINI,-22.2392815,-49.9175064
PRESIDENTE PRUDENTE,1,172,COLÉGIO ÁTOMO,-22.1234485,-51.4197442
MARÍLIA,1,229,COLÉGIO CRIATIVO ,-22.2277428,-49.9257227
OSVALDO CRUZ,1,58,EE DOM BOSCO,-21.7964924,-50.8799394
MARÍLIA,1,342,EMEF PROF PAULO REGLUS NEVES FREIRE,-22.2517657,-49.9408542
LUCÉLIA,1,25,EMEI ADELITA FIRPO,-1.0,-1.0
MARÍLIA,1,263,EMEF PROFª  MYRTHES PUPO DE NEGREIROS,-22.2401977,-49.9292408
PRESIDENTE PRUDENTE,1,75,E.E. PROFª. MIRELLA PESCE DESIDERE,-22.1100781,-51.429227
PRESIDENTE PRUDENTE,1,142,E. E. PROFº HUGO MIELE,-22.1120854,-51.3923448
MARÍLIA,1,186,EE PROF CARLOTA DE NEGREIROS ROCHA,-22.224271,-49.9412177
TUPÃ,1,56,EE. PROF.  ANÍSIO CARNEIRO,-21.9260699,-50.5106997
DRACENA,1,9,EE ENG ISAC PEREIRA GARCEZ,-21.4844021,-51.5313189
ADAMANTINA,1,36,EMEF. NAVARRO DE ANDRADE,-21.6891015,-51.0798656
PRESIDENTE PRUDENTE,1,119,COLÉGIO ÁTOMO,-22.1234485,-51.4197442
PRESIDENTE PRUDENTE,1,333,E. M. PROFª ROSY ODETTY RORIZ BRANDÃO,-22.095902,-51.4037982
PRESIDENTE PRUDENTE,1,318,E. M. DEP. CARLOS CASTILHO CABRAL,-22.0992138,-51.3932933
PRESIDENTE PRUDENTE,1,344,E. E. TEOFILO GONZAGA DA SANTA CRUZ,-22.0842638,-51.3972269
PRESIDENTE PRUDENTE,1,385,E.M. PROFª ELIANE TADIOTTO DE ARAUJO,-22.0792295,-51.3816971
PRESIDENTE PRUDENTE,1,384,COLÉGIO COOPERATIVO,-22.0941292,-51.4273353
PRESIDENTE PRUDENTE,1,186,COLÉGIO CRIARTE,-22.141545,-51.3891683
PRESIDENTE PRUDENTE,1,235,E. M.  PROFª ALAYDE TORTORELLA FARIA MOTTA,-22.1449412,-51.3827502
MARÍLIA,1,319,EMEF PROF. NELSON GABALDI,-22.2205414,-49.9722993
MARÍLIA,1,344,EE. NASIB CURY,-22.2496488,-49.9439296
PRESIDENTE PRUDENTE,1,26,E.M. PROF. JOSÉ CARLOS JOÃO,-22.1422103,-51.391758
MARÍLIA,1,18,INSTITUTO DAS APÓSTOLAS SAGRADO CORAÇÃO DE JESUS,-22.2132291,-49.9478041
PRESIDENTE PRUDENTE,1,20,COLÉGIO CRISTO REI,-22.1201108,-51.3886873
MARÍLIA,1,281,COLÉGIO CRIATIVO ,-22.2277428,-49.9257227
PRESIDENTE PRUDENTE,1,359,E. E. PROFª ANNA ANTONIO,-22.0913914,-51.3863442
PRESIDENTE PRUDENTE,1,237,E.E. ORACY MATRICARDI PROF,-22.1529291,-51.4518848
RANCHARIA,1,71,ASSOCIAÇÃO DE PAIS E AMIGOS DOS EXCEPCIONAIS,-22.2279013,-50.8937046
TUPÃ,1,74,EE. JOAQUIM ABARCA,-21.9249798,-50.5229554
TUPÃ,1,6,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
MARÍLIA,1,310,EMEF PROFª EDMEA BRAZ ROJO SOLA,-22.2022058,-49.9615136
PRESIDENTE PRUDENTE,1,247,CENTRO EDUCACIONAL SESI 423,-22.1334065,-51.4490591
MARÍLIA,1,399,EMEI BRANCA DE NEVE,-22.1558824,-50.00883
DRACENA,1,4,EMEFI JOAO VENDRAMINI,-21.4832305,-51.5344182
DRACENA,1,99,E.E ALFREDO MACHADO,-21.4906607,-51.5537528
DRACENA,1,19,FADRA,-21.4863311,-51.5280478
PRESIDENTE PRUDENTE,1,276,E. E. FERNANDO COSTA,-22.1204416,-51.3881245
MARÍLIA,1,274,EMEF. GOVERNADOR MÁRIO COVAS ,-22.1648765,-49.9749085
MARÍLIA,1,411,EMEI SAMBALELÊ,-22.2451746,-49.9345686
MARÍLIA,1,47,EE PROF. BALTAZAR DE GODOY MOREIRA,-22.2015503,-49.9591456
PRESIDENTE PRUDENTE,1,145,E.M.  JOÃO SEBASTIÃO LISBOA,-22.1223398,-51.4003314
DRACENA,1,100,EE 9 DE JULHO,-21.4897513,-51.5253035
MARÍLIA,1,281,EE PROF. ANTÔNIO GOMES DE OLIVEIRA,-22.2079766,-49.9592632
PRESIDENTE PRUDENTE,1,77,E.E. PROFª. MIRELLA PESCE DESIDERE,-22.1100781,-51.429227
MARÍLIA,1,104,EMEF. PROFº ANTONIO RIBEIRO,-22.24905143,-49.92630542
ADAMANTINA,1,4,FACULDADES  ADAMANTINENSES INTEGRADAS - CAMPUS I,-21.6856842,-51.0798299
PRESIDENTE PRUDENTE,1,205,E. E. FERNANDO COSTA,-22.1204416,-51.3881245
DRACENA,1,66,ESCOLA TÉCNICA CEP/UME,-21.4858446,-51.5317264
DRACENA,1,105,EE 9 DE JULHO,-21.4897513,-51.5253035
ADAMANTINA,1,16,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
MARÍLIA,1,178, EE. PROFª REIKO UEMURA TSUNOKAWA,-22.1718078,-49.9582154
MARÍLIA,1,90,E.E. ANTONIO AUGUSTO NETTO,-22.2395782,-49.9246842
PRESIDENTE PRUDENTE,1,5,E.E.  PROFª MARIA LUÍZA BASTOS,-22.132292,-51.4059708
RANCHARIA,1,47,EE. JOÃO PEREZ SANTOS,-22.5322111,-50.9114426
PRESIDENTE PRUDENTE,1,326,E. E. JOÃO ALFREDO DA SILVA,-21.914168,-51.3018379
MARÍLIA,1,280,EE. NASIB CURY,-22.2496488,-49.9439296
MARÍLIA,1,7,E.E. DR. WALDEMAR MONIZ DA ROCHA BARROS ,-22.2032502,-49.9489875
OSVALDO CRUZ,1,97,COLÉGIO APOLO,-21.7991197,-50.8734154
PRESIDENTE PRUDENTE,1,125,E. M. DR. JOÃO FRANCO DE GODOY,-22.1136855,-51.3963995
ADAMANTINA,1,115,EE. HELEN KELLER,-21.6924798,-51.069082
PRESIDENTE PRUDENTE,1,241,E. E. JOÃO ALFREDO DA SILVA,-21.914168,-51.3018379
TUPÃ,1,48,EE. PROF. SEBASTIÃO TEIXEIRA PINTO,-21.9384359,-50.5053357
TUPÃ,1,9,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
PRESIDENTE PRUDENTE,1,123,E.E. PROF. JOEL ANTÔNIO DE LIMA GENÉSIO,-22.1142667,-51.4263585
PRESIDENTE PRUDENTE,1,95,E. M. PROFª CATARINA MARTINS ARTERO,-22.1098776,-51.3813273
OSVALDO CRUZ,1,79,EMEFI DOUTOR GETULIO VARGAS,-21.7999407,-50.8724599
DRACENA,1,61,ESCOLA TÉCNICA CEP/UME,-21.4858446,-51.5317264
TUPÃ,1,97,EMEIEF. PROF. GINO BOLOGNESI,-21.9454086,-50.4398472
MARÍLIA,1,240,EMEF ROBERTO CAETANO CIMINO,-22.1629709,-49.9453475
TUPÃ,1,129,EE. MAESTRO NELSON DE CASTRO,-21.9428371,-50.5225869
MARÍLIA,1,305,EMEF PROFª EDMEA BRAZ ROJO SOLA,-22.2022058,-49.9615136
PRESIDENTE PRUDENTE,1,24,E. E. FERNANDO COSTA,-22.1204416,-51.3881245
MARÍLIA,1,26,E.E. PROFª MARIA STELLA CERQUEIRA CÉSAR,-22.191186,-49.9538684
TUPÃ,1,42,EE. PROF. SEBASTIÃO TEIXEIRA PINTO,-21.9384359,-50.5053357
MARÍLIA,1,282,EMEF PROFª  GERALDA CESAR VILARDI,-22.2153217,-49.9768754
PRESIDENTE PRUDENTE,1,194,E.M. PADRE EMÍLIO BECKER,-22.1279469,-51.3782482
MARÍLIA,1,278,EMEFEI - CHICO XAVIER,-22.2369283,-49.9786711
ADAMANTINA,1,41,EMEF. NAVARRO DE ANDRADE,-21.6891015,-51.0798656
OSVALDO CRUZ,1,14,ETEC AMIM JUNDI,-21.7914906,-50.8765847
OSVALDO CRUZ,1,117,COLÉGIO APOLO,-21.7991197,-50.8734154
PRESIDENTE PRUDENTE,1,47,E.E. MONSENHOR SARRION,-22.1337902,-51.3914742
MARÍLIA,1,378,EMEI CRECHE - PINGO DE GENTE,-22.2399353,-49.9342782
TUPÃ,1,156,EE .PROF. IRENE RESINA MIGLIORUCCI,-21.9303421,-50.4944143
PRESIDENTE PRUDENTE,1,232,E. E. DR. MARREY JUNIOR,-22.1068185,-51.3966115
MARÍLIA,1,217,EE PROF. ANTÔNIO GOMES DE OLIVEIRA,-22.2079766,-49.9592632
MARÍLIA,1,25,INSTITUTO DAS APÓSTOLAS SAGRADO CORAÇÃO DE JESUS,-22.2132291,-49.9478041
RANCHARIA,1,25,EE. DOM ANTONIO JOSÉ DOS SANTOS,-22.2280026,-50.8917407
DRACENA,1,26,EE 9 DE JULHO,-21.4897513,-51.5253035
DRACENA,1,24,EE 9 DE JULHO,-21.4897513,-51.5253035
PRESIDENTE PRUDENTE,1,365,E. E. TEOFILO GONZAGA DA SANTA CRUZ,-22.0842638,-51.3972269
TUPÃ,1,16,EE. DR. LÉLIO TOLEDO  PIZA E ALMEIDA,-21.9385669,-50.5163101
PRESIDENTE PRUDENTE,1,6,E.E.  PROFª MARIA LUÍZA BASTOS,-22.132292,-51.4059708
TUPÃ,1,37,EE. ÍNDIA VANUIRE,-21.9350893,-50.5169581
MARÍLIA,1,373,EMEF NIVANDO MARIANO DOS SANTOS,-22.2544411,-49.9348909
MARÍLIA,1,1,EE ABEL AUGUSTO FRAGATA,-22.2231821,-49.9606052
MARÍLIA,1,76,EE GABRIEL MONTEIRO DA SILVA,-22.2157852,-49.9542383
PRESIDENTE PRUDENTE,1,4,E.E.  PROFª MARIA LUÍZA BASTOS,-22.132292,-51.4059708
ADAMANTINA,1,12,EE. PROFESSORA FLEURIDES CAVALLINI MENECHINO,-21.6930535,-51.0701944
RANCHARIA,1,17,EM. DR. JULIO LUCANT,-22.2271764,-50.8917237
RANCHARIA,1,39,EE. JOSÉ GIORGI,-22.2272722,-50.8834943
RANCHARIA,1,28,EE. DR. BENEDITO MARTINS BARBOSA,-22.2263605,-50.8905838
PRESIDENTE PRUDENTE,1,399,E. M. PROFª ODETTE DUARTE DA COSTA,-22.0769186,-51.3613254
PRESIDENTE PRUDENTE,1,320,COLÉGIO CHAMPAGNAT,-22.1177263,-51.390203
PRESIDENTE PRUDENTE,1,82,E.E. PROF. JOEL ANTÔNIO DE LIMA GENÉSIO,-22.1142667,-51.4263585
PRESIDENTE PRUDENTE,1,158,CENTRO EDUCACIONAL SESI 423,-22.1334065,-51.4490591
MARÍLIA,1,14,INSTITUTO DAS APÓSTOLAS SAGRADO CORAÇÃO DE JESUS,-22.2132291,-49.9478041
MARÍLIA,1,27,E.E. PROFª MARIA STELLA CERQUEIRA CÉSAR,-22.191186,-49.9538684
DRACENA,1,90,E.E ALFREDO MACHADO,-21.4906607,-51.5537528
TUPÃ,1,30,EE. PROF. HELENA PAVANELLI PORTO,-21.9387273,-50.5131266
LUCÉLIA,1,23,EMEF.  PROFA SOLEDADE DOMINGUES IGLESIA,-1.0,-1.0
RANCHARIA,1,41,EMEFEI. CARLOS BUENO DE TOLEDO,-22.6262523,-50.9066885
LUCÉLIA,1,79,EMEF PROF CARLOS BUENO,-1.0,-1.0
PRESIDENTE PRUDENTE,1,42,E.E. MONSENHOR SARRION,-22.1337902,-51.3914742
PRESIDENTE PRUDENTE,1,179,E. M. ANTÔNIO MOREIRA LIMA,-22.1611826,-51.4550199
OSVALDO CRUZ,1,5,ETEC AMIM JUNDI,-21.7914906,-50.8765847
PRESIDENTE PRUDENTE,1,90,E. M. CEL. JOSÉ SOARES MARCONDES,-22.1196413,-51.3838301
MARÍLIA,1,181,EMEI. CRECHE RODA PIÃO ,-22.1976708,-49.9529042
PRESIDENTE PRUDENTE,1,202,COLÉGIO CRISTO REI,-22.1201108,-51.3886873
OSVALDO CRUZ,1,87,SESI,-21.8008372,-50.8839758
DRACENA,1,23,FADRA,-21.4863311,-51.5280478
PRESIDENTE PRUDENTE,1,296,E. E. PROFª CELESTINA DE CAMPOS TOLEDO TEIXEIRA,-21.9595888,-51.3076541
PRESIDENTE PRUDENTE,1,294,E. M. CEL. JOSÉ SOARES MARCONDES,-22.1196413,-51.3838301
MARÍLIA,1,332,EE DR. LOURENÇO DE ALMEIDA SENNE,-22.1955906,-49.962607
PRESIDENTE PRUDENTE,1,106,E.M.  PROFª.  FRANCISCA ALMEIDA GOES BRANDÃO,-22.1334779,-51.4007175
PRESIDENTE PRUDENTE,1,203,E. E. FERNANDO COSTA,-22.1204416,-51.3881245
MARÍLIA,1,301,EMEF PROF. NELSON GABALDI,-22.2205414,-49.9722993
PRESIDENTE PRUDENTE,1,119,E. M. DR. JOÃO FRANCO DE GODOY,-22.1136855,-51.3963995
OSVALDO CRUZ,1,91,EMEFI DOUTOR GETULIO VARGAS,-21.7999407,-50.8724599
PRESIDENTE PRUDENTE,1,178,E. E. VEREADOR PEDRO TÓFANO,-22.0512891,-51.3471971
MARÍLIA,1,368,EE PROF. BALTAZAR DE GODOY MOREIRA,-22.2015503,-49.9591456
MARÍLIA,1,258,EMEF. PROFª CECÍLIA ALVES GUELPA,-22.1725289,-49.9504075
PRESIDENTE PRUDENTE,1,265,CENTRO EDUCACIONAL SESI 423,-22.1334065,-51.4490591
TUPÃ,1,44,EE. PROF. SEBASTIÃO TEIXEIRA PINTO,-21.9384359,-50.5053357
OSVALDO CRUZ,1,1,ETEC AMIM JUNDI,-21.7914906,-50.8765847
PRESIDENTE PRUDENTE,1,313,COLÉGIO BRAGA MELLO,-22.107037,-51.3978385
MARÍLIA,1,114,E.E. PROFª AMÉLIA LOPES ANDERS ,-22.1691793,-49.971775
MARÍLIA,1,92,E.E. ANTONIO AUGUSTO NETTO,-22.2395782,-49.9246842
MARÍLIA,1,297,EMEF. GOVERNADOR MÁRIO COVAS ,-22.1648765,-49.9749085
PRESIDENTE PRUDENTE,1,100,E. M. PROFª CATARINA MARTINS ARTERO,-22.1098776,-51.3813273
